Commodity,country,Total_Value,rank
ALUMINIUM AND ARTICLES THEREOF.,ALBANIA,1.31,88
ALUMINIUM AND ARTICLES THEREOF.,MOROCCO,1.2,89
ALUMINIUM AND ARTICLES THEREOF.,UKRAINE,1.19,90
ALUMINIUM AND ARTICLES THEREOF.,SUDAN,1.16,91
ALUMINIUM AND ARTICLES THEREOF.,CHILE,1.02,92
ALUMINIUM AND ARTICLES THEREOF.,PUERTO RICO,1.02,92
ALUMINIUM AND ARTICLES THEREOF.,BURKINA FASO,0.94,93
ALUMINIUM AND ARTICLES THEREOF.,FINLAND,0.94,93
ALUMINIUM AND ARTICLES THEREOF.,CAMEROON,0.91,94
ALUMINIUM AND ARTICLES THEREOF.,HONG KONG,0.83,95
ALUMINIUM AND ARTICLES THEREOF.,PAKISTAN IR,0.77,96
ALUMINIUM AND ARTICLES THEREOF.,ROMANIA,0.71,97
ALUMINIUM AND ARTICLES THEREOF.,PANAMA REPUBLIC,0.71,97
ALUMINIUM AND ARTICLES THEREOF.,MALAWI,0.68,98
ALUMINIUM AND ARTICLES THEREOF.,HUNGARY,0.62,99
ALUMINIUM AND ARTICLES THEREOF.,BOTSWANA,0.59,100
ALUMINIUM AND ARTICLES THEREOF.,PARAGUAY,0.58,101
ALUMINIUM AND ARTICLES THEREOF.,NAMIBIA,0.56,102
ALUMINIUM AND ARTICLES THEREOF.,GAMBIA,0.56,102
ALUMINIUM AND ARTICLES THEREOF.,MALDIVES,0.52,103
ALUMINIUM AND ARTICLES THEREOF.,SLOVAK REP,0.5,104
ALUMINIUM AND ARTICLES THEREOF.,ESTONIA,0.42,105
ALUMINIUM AND ARTICLES THEREOF.,COMOROS,0.41,106
ALUMINIUM AND ARTICLES THEREOF.,CONGO P REP,0.39,107
ALUMINIUM AND ARTICLES THEREOF.,GUYANA,0.35,108
ALUMINIUM AND ARTICLES THEREOF.,TURKMENISTAN,0.31,109
ALUMINIUM AND ARTICLES THEREOF.,MYANMAR,0.31,109
ALUMINIUM AND ARTICLES THEREOF.,SLOVENIA,0.27,110
ALUMINIUM AND ARTICLES THEREOF.,CYPRUS,0.27,110
ALUMINIUM AND ARTICLES THEREOF.,ICELAND,0.26,111
ALUMINIUM AND ARTICLES THEREOF.,SEYCHELLES,0.24,112
ALUMINIUM AND ARTICLES THEREOF.,REUNION,0.2,113
ALUMINIUM AND ARTICLES THEREOF.,MALI,0.18,114
ALUMINIUM AND ARTICLES THEREOF.,SYRIA,0.17,115
ALUMINIUM AND ARTICLES THEREOF.,URUGUAY,0.17,115
ALUMINIUM AND ARTICLES THEREOF.,DJIBOUTI,0.15,116
ALUMINIUM AND ARTICLES THEREOF.,PAPUA N GNA,0.12,117
ALUMINIUM AND ARTICLES THEREOF.,UZBEKISTAN,0.12,117
ALUMINIUM AND ARTICLES THEREOF.,HAITI,0.11,118
ALUMINIUM AND ARTICLES THEREOF.,GUINEA,0.11,118
ALUMINIUM AND ARTICLES THEREOF.,GABON,0.11,118
ALUMINIUM AND ARTICLES THEREOF.,LAO PD RP,0.1,119
ALUMINIUM AND ARTICLES THEREOF.,GEORGIA,0.09,120
ALUMINIUM AND ARTICLES THEREOF.,TUNISIA,0.09,120
ALUMINIUM AND ARTICLES THEREOF.,SURINAME,0.09,120
ALUMINIUM AND ARTICLES THEREOF.,LITHUANIA,0.08,121
ALUMINIUM AND ARTICLES THEREOF.,ZIMBABWE,0.07,122
ALUMINIUM AND ARTICLES THEREOF.,EL SALVADOR,0.06,123
ALUMINIUM AND ARTICLES THEREOF.,GUATEMALA,0.06,123
ALUMINIUM AND ARTICLES THEREOF.,MAYOTTE,0.06,123
ALUMINIUM AND ARTICLES THEREOF.,TRINIDAD,0.06,123
ALUMINIUM AND ARTICLES THEREOF.,CROATIA,0.06,123
ALUMINIUM AND ARTICLES THEREOF.,JAMAICA,0.05,124
ALUMINIUM AND ARTICLES THEREOF.,NIGER,0.05,124
ALUMINIUM AND ARTICLES THEREOF.,BARBADOS,0.04,125
ALUMINIUM AND ARTICLES THEREOF.,NETHERLANDANTIL,0.04,125
ALUMINIUM AND ARTICLES THEREOF.,BRUNEI,0.04,125
ALUMINIUM AND ARTICLES THEREOF.,EQUTL GUINEA,0.04,125
ALUMINIUM AND ARTICLES THEREOF.,BELARUS,0.03,126
ALUMINIUM AND ARTICLES THEREOF.,MONGOLIA,0.03,126
ALUMINIUM AND ARTICLES THEREOF.,HONDURAS,0.03,126
ALUMINIUM AND ARTICLES THEREOF.,CAMBODIA,0.03,126
ALUMINIUM AND ARTICLES THEREOF.,SWAZILAND,0.03,126
ALUMINIUM AND ARTICLES THEREOF.,ARUBA,0.03,126
ALUMINIUM AND ARTICLES THEREOF.,BAHAMAS,0.02,127
ALUMINIUM AND ARTICLES THEREOF.,BOLIVIA,0.02,127
ALUMINIUM AND ARTICLES THEREOF.,TOGO,0.02,127
ALUMINIUM AND ARTICLES THEREOF.,SERBIA,0.02,127
ALUMINIUM AND ARTICLES THEREOF.,KAZAKHSTAN,0.01,128
ALUMINIUM AND ARTICLES THEREOF.,LIECHTENSTEIN,0.01,128
ALUMINIUM AND ARTICLES THEREOF.,LUXEMBOURG,0.01,128
ALUMINIUM AND ARTICLES THEREOF.,CHAD,0.01,128
ALUMINIUM AND ARTICLES THEREOF.,LIBYA,0.01,128
ALUMINIUM AND ARTICLES THEREOF.,VENEZUELA,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,MONACO,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,KYRGHYZSTAN,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,BOSNIA-HRZGOVIN,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,AZERBAIJAN,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,MACEDONIA,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,MALTA,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,ST KITT N A,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,ST LUCIA,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,GRENADA,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,MONTSERRAT,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,GUINEA BISSAU,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,MARTINIQUE,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,GUAM,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,BELIZE,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,NEW CALEDONIA,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,VANUATU REP,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,TONGA,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,PALAU,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,ARMENIA,0.0,129
ALUMINIUM AND ARTICLES THEREOF.,C AFRI REP,,130
ALUMINIUM AND ARTICLES THEREOF.,ANTIGUA,,130
ALUMINIUM AND ARTICLES THEREOF.,CUBA,,130
