Commodity,country,Total_Value,rank
MISCELLANEOUS ARTICLES OF BASE METAL.,PERU,0.51,78
MISCELLANEOUS ARTICLES OF BASE METAL.,CONGO D. REP.,0.5,79
MISCELLANEOUS ARTICLES OF BASE METAL.,ZIMBABWE,0.5,79
MISCELLANEOUS ARTICLES OF BASE METAL.,RWANDA,0.49,80
MISCELLANEOUS ARTICLES OF BASE METAL.,ERITREA,0.45,81
MISCELLANEOUS ARTICLES OF BASE METAL.,SYRIA,0.4,82
MISCELLANEOUS ARTICLES OF BASE METAL.,BURKINA FASO,0.38,83
MISCELLANEOUS ARTICLES OF BASE METAL.,MALTA,0.38,83
MISCELLANEOUS ARTICLES OF BASE METAL.,MALDIVES,0.32,84
MISCELLANEOUS ARTICLES OF BASE METAL.,COTE D' IVOIRE,0.28,85
MISCELLANEOUS ARTICLES OF BASE METAL.,SENEGAL,0.27,86
MISCELLANEOUS ARTICLES OF BASE METAL.,GREECE,0.27,86
MISCELLANEOUS ARTICLES OF BASE METAL.,TRINIDAD,0.26,87
MISCELLANEOUS ARTICLES OF BASE METAL.,SEYCHELLES,0.25,88
MISCELLANEOUS ARTICLES OF BASE METAL.,TOGO,0.23,89
MISCELLANEOUS ARTICLES OF BASE METAL.,UKRAINE,0.23,89
MISCELLANEOUS ARTICLES OF BASE METAL.,ECUADOR,0.22,90
MISCELLANEOUS ARTICLES OF BASE METAL.,LIBERIA,0.22,90
MISCELLANEOUS ARTICLES OF BASE METAL.,GUATEMALA,0.22,90
MISCELLANEOUS ARTICLES OF BASE METAL.,DJIBOUTI,0.21,91
MISCELLANEOUS ARTICLES OF BASE METAL.,COSTA RICA,0.21,91
MISCELLANEOUS ARTICLES OF BASE METAL.,SWAZILAND,0.21,91
MISCELLANEOUS ARTICLES OF BASE METAL.,LATVIA,0.2,92
MISCELLANEOUS ARTICLES OF BASE METAL.,GUINEA,0.2,92
MISCELLANEOUS ARTICLES OF BASE METAL.,DOMINIC REP,0.19,93
MISCELLANEOUS ARTICLES OF BASE METAL.,BENIN,0.18,94
MISCELLANEOUS ARTICLES OF BASE METAL.,SLOVENIA,0.18,94
MISCELLANEOUS ARTICLES OF BASE METAL.,BELARUS,0.17,95
MISCELLANEOUS ARTICLES OF BASE METAL.,HUNGARY,0.17,95
MISCELLANEOUS ARTICLES OF BASE METAL.,LIBYA,0.15,96
MISCELLANEOUS ARTICLES OF BASE METAL.,CYPRUS,0.14,97
MISCELLANEOUS ARTICLES OF BASE METAL.,TUNISIA,0.13,98
MISCELLANEOUS ARTICLES OF BASE METAL.,FIJI IS,0.12,99
MISCELLANEOUS ARTICLES OF BASE METAL.,BURUNDI,0.11,100
MISCELLANEOUS ARTICLES OF BASE METAL.,CONGO P REP,0.1,101
MISCELLANEOUS ARTICLES OF BASE METAL.,PAPUA N GNA,0.1,101
MISCELLANEOUS ARTICLES OF BASE METAL.,BARBADOS,0.09,102
MISCELLANEOUS ARTICLES OF BASE METAL.,SLOVAK REP,0.09,102
MISCELLANEOUS ARTICLES OF BASE METAL.,VENEZUELA,0.09,102
MISCELLANEOUS ARTICLES OF BASE METAL.,SIERRA LEONE,0.09,102
MISCELLANEOUS ARTICLES OF BASE METAL.,URUGUAY,0.09,102
MISCELLANEOUS ARTICLES OF BASE METAL.,HONDURAS,0.09,102
MISCELLANEOUS ARTICLES OF BASE METAL.,TURKMENISTAN,0.08,103
MISCELLANEOUS ARTICLES OF BASE METAL.,PANAMA REPUBLIC,0.07,104
MISCELLANEOUS ARTICLES OF BASE METAL.,GABON,0.07,104
MISCELLANEOUS ARTICLES OF BASE METAL.,BRUNEI,0.06,105
MISCELLANEOUS ARTICLES OF BASE METAL.,GUYANA,0.06,105
MISCELLANEOUS ARTICLES OF BASE METAL.,KAZAKHSTAN,0.06,105
MISCELLANEOUS ARTICLES OF BASE METAL.,NIGER,0.06,105
MISCELLANEOUS ARTICLES OF BASE METAL.,CAMEROON,0.06,105
MISCELLANEOUS ARTICLES OF BASE METAL.,MALI,0.05,106
MISCELLANEOUS ARTICLES OF BASE METAL.,LAO PD RP,0.05,106
MISCELLANEOUS ARTICLES OF BASE METAL.,CUBA,0.04,107
MISCELLANEOUS ARTICLES OF BASE METAL.,MONGOLIA,0.04,107
MISCELLANEOUS ARTICLES OF BASE METAL.,UZBEKISTAN,0.04,107
MISCELLANEOUS ARTICLES OF BASE METAL.,PARAGUAY,0.04,107
MISCELLANEOUS ARTICLES OF BASE METAL.,REUNION,0.03,108
MISCELLANEOUS ARTICLES OF BASE METAL.,SERBIA,0.03,108
MISCELLANEOUS ARTICLES OF BASE METAL.,HAITI,0.03,108
MISCELLANEOUS ARTICLES OF BASE METAL.,NAMIBIA,0.03,108
