Commodity,country,Total_Value,rank
RUBBER AND ARTICLES THEREOF.,U S A,503.72,1
RUBBER AND ARTICLES THEREOF.,GERMANY,199.91,2
RUBBER AND ARTICLES THEREOF.,U K,116.17,3
RUBBER AND ARTICLES THEREOF.,U ARAB EMTS,109.95,4
RUBBER AND ARTICLES THEREOF.,ITALY,91.71,5
RUBBER AND ARTICLES THEREOF.,FRANCE,91.65,6
RUBBER AND ARTICLES THEREOF.,BANGLADESH PR,90.43,7
RUBBER AND ARTICLES THEREOF.,NETHERLAND,88.3,8
RUBBER AND ARTICLES THEREOF.,NEPAL,86.81,9
RUBBER AND ARTICLES THEREOF.,THAILAND,85.11,10
RUBBER AND ARTICLES THEREOF.,BRAZIL,83.86,11
RUBBER AND ARTICLES THEREOF.,INDONESIA,81.1,12
RUBBER AND ARTICLES THEREOF.,PHILIPPINES,69.79,13
RUBBER AND ARTICLES THEREOF.,CHINA P RP,66.62,14
RUBBER AND ARTICLES THEREOF.,AUSTRALIA,62.55,15
RUBBER AND ARTICLES THEREOF.,CANADA,52.77,16
RUBBER AND ARTICLES THEREOF.,SPAIN,50.61,17
RUBBER AND ARTICLES THEREOF.,SAUDI ARAB,46.6,18
RUBBER AND ARTICLES THEREOF.,SOUTH AFRICA,44.0,19
RUBBER AND ARTICLES THEREOF.,MEXICO,43.99,20
RUBBER AND ARTICLES THEREOF.,POLAND,43.58,21
RUBBER AND ARTICLES THEREOF.,SRI LANKA DSR,42.15,22
RUBBER AND ARTICLES THEREOF.,EGYPT A RP,40.98,23
RUBBER AND ARTICLES THEREOF.,RUSSIA,39.4,24
RUBBER AND ARTICLES THEREOF.,BELGIUM,38.35,25
RUBBER AND ARTICLES THEREOF.,TURKEY,37.98,26
RUBBER AND ARTICLES THEREOF.,PAKISTAN IR,36.59,27
RUBBER AND ARTICLES THEREOF.,IRAN,35.96,28
RUBBER AND ARTICLES THEREOF.,IRELAND,31.94,29
RUBBER AND ARTICLES THEREOF.,KENYA,27.65,30
RUBBER AND ARTICLES THEREOF.,PORTUGAL,26.95,31
RUBBER AND ARTICLES THEREOF.,VIETNAM SOC REP,25.24,32
RUBBER AND ARTICLES THEREOF.,JAPAN,24.87,33
RUBBER AND ARTICLES THEREOF.,COLOMBIA,24.75,34
RUBBER AND ARTICLES THEREOF.,SWEDEN,24.05,35
RUBBER AND ARTICLES THEREOF.,ETHIOPIA,22.85,36
RUBBER AND ARTICLES THEREOF.,PERU,22.64,37
RUBBER AND ARTICLES THEREOF.,NIGERIA,22.49,38
RUBBER AND ARTICLES THEREOF.,ROMANIA,22.07,39
RUBBER AND ARTICLES THEREOF.,AUSTRIA,20.06,40
RUBBER AND ARTICLES THEREOF.,MALAYSIA,18.93,41
RUBBER AND ARTICLES THEREOF.,QATAR,18.93,41
RUBBER AND ARTICLES THEREOF.,UGANDA,18.85,42
RUBBER AND ARTICLES THEREOF.,LATVIA,17.65,43
RUBBER AND ARTICLES THEREOF.,KOREA RP,16.97,44
RUBBER AND ARTICLES THEREOF.,TANZANIA REP,16.77,45
RUBBER AND ARTICLES THEREOF.,FINLAND,15.93,46
RUBBER AND ARTICLES THEREOF.,SUDAN,15.53,47
RUBBER AND ARTICLES THEREOF.,CHILE,15.08,48
RUBBER AND ARTICLES THEREOF.,BHUTAN,14.04,49
RUBBER AND ARTICLES THEREOF.,SINGAPORE,13.91,50
RUBBER AND ARTICLES THEREOF.,DENMARK,13.62,51
RUBBER AND ARTICLES THEREOF.,ARGENTINA,12.18,52
RUBBER AND ARTICLES THEREOF.,KUWAIT,11.68,53
RUBBER AND ARTICLES THEREOF.,IRAQ,11.23,54
RUBBER AND ARTICLES THEREOF.,UKRAINE,11.02,55
RUBBER AND ARTICLES THEREOF.,OMAN,10.65,56
RUBBER AND ARTICLES THEREOF.,GHANA,10.59,57
RUBBER AND ARTICLES THEREOF.,SOMALIA,10.14,58
RUBBER AND ARTICLES THEREOF.,SLOVENIA,9.31,59
RUBBER AND ARTICLES THEREOF.,SLOVAK REP,9.0,60
RUBBER AND ARTICLES THEREOF.,AFGHANISTAN TIS,8.32,61
RUBBER AND ARTICLES THEREOF.,MYANMAR,7.93,62
RUBBER AND ARTICLES THEREOF.,NEW ZEALAND,7.92,63
RUBBER AND ARTICLES THEREOF.,HONDURAS,7.46,64
RUBBER AND ARTICLES THEREOF.,NORWAY,7.45,65
RUBBER AND ARTICLES THEREOF.,GUATEMALA,7.02,66
RUBBER AND ARTICLES THEREOF.,ZAMBIA,7.02,66
RUBBER AND ARTICLES THEREOF.,ECUADOR,6.91,67
RUBBER AND ARTICLES THEREOF.,ISRAEL,6.85,68
RUBBER AND ARTICLES THEREOF.,GREECE,6.73,69
RUBBER AND ARTICLES THEREOF.,HUNGARY,6.49,70
RUBBER AND ARTICLES THEREOF.,COTE D' IVOIRE,5.66,71
RUBBER AND ARTICLES THEREOF.,PANAMA REPUBLIC,5.45,72
RUBBER AND ARTICLES THEREOF.,MOZAMBIQUE,5.36,73
RUBBER AND ARTICLES THEREOF.,BOLIVIA,5.32,74
RUBBER AND ARTICLES THEREOF.,HONG KONG,5.2,75
RUBBER AND ARTICLES THEREOF.,BURKINA FASO,5.09,76
RUBBER AND ARTICLES THEREOF.,GUINEA,4.86,77
RUBBER AND ARTICLES THEREOF.,ALGERIA,4.78,78
RUBBER AND ARTICLES THEREOF.,BULGARIA,4.47,79
RUBBER AND ARTICLES THEREOF.,SWITZERLAND,4.39,80
RUBBER AND ARTICLES THEREOF.,TAIWAN,4.36,81
RUBBER AND ARTICLES THEREOF.,MOROCCO,4.34,82
RUBBER AND ARTICLES THEREOF.,MALI,4.18,83
RUBBER AND ARTICLES THEREOF.,YEMEN REPUBLC,3.95,84
RUBBER AND ARTICLES THEREOF.,BAHARAIN IS,3.85,85
RUBBER AND ARTICLES THEREOF.,CZECH REPUBLIC,3.7,86
RUBBER AND ARTICLES THEREOF.,COSTA RICA,3.41,87
RUBBER AND ARTICLES THEREOF.,HAITI,3.28,88
RUBBER AND ARTICLES THEREOF.,CAMBODIA,3.23,89
RUBBER AND ARTICLES THEREOF.,SENEGAL,2.72,90
RUBBER AND ARTICLES THEREOF.,CROATIA,2.7,91
RUBBER AND ARTICLES THEREOF.,ZIMBABWE,2.69,92
RUBBER AND ARTICLES THEREOF.,JORDAN,2.65,93
RUBBER AND ARTICLES THEREOF.,BRUNEI,2.51,94
RUBBER AND ARTICLES THEREOF.,SYRIA,2.46,95
RUBBER AND ARTICLES THEREOF.,TUNISIA,2.38,96
RUBBER AND ARTICLES THEREOF.,LITHUANIA,2.34,97
RUBBER AND ARTICLES THEREOF.,MAURITIUS,2.3,98
RUBBER AND ARTICLES THEREOF.,NICARAGUA,2.28,99
RUBBER AND ARTICLES THEREOF.,URUGUAY,1.89,100
RUBBER AND ARTICLES THEREOF.,DOMINIC REP,1.78,101
RUBBER AND ARTICLES THEREOF.,LEBANON,1.69,102
RUBBER AND ARTICLES THEREOF.,MALAWI,1.68,103
RUBBER AND ARTICLES THEREOF.,CAMEROON,1.65,104
RUBBER AND ARTICLES THEREOF.,CYPRUS,1.63,105
RUBBER AND ARTICLES THEREOF.,UZBEKISTAN,1.62,106
RUBBER AND ARTICLES THEREOF.,MADAGASCAR,1.59,107
RUBBER AND ARTICLES THEREOF.,BURUNDI,1.41,108
RUBBER AND ARTICLES THEREOF.,BOTSWANA,1.39,109
RUBBER AND ARTICLES THEREOF.,CONGO D. REP.,1.39,109
RUBBER AND ARTICLES THEREOF.,RWANDA,1.38,110
RUBBER AND ARTICLES THEREOF.,PARAGUAY,1.24,111
RUBBER AND ARTICLES THEREOF.,SERBIA,1.24,111
RUBBER AND ARTICLES THEREOF.,PUERTO RICO,1.22,112
RUBBER AND ARTICLES THEREOF.,KAZAKHSTAN,1.16,113
RUBBER AND ARTICLES THEREOF.,DJIBOUTI,1.14,114
RUBBER AND ARTICLES THEREOF.,ESTONIA,1.04,115
RUBBER AND ARTICLES THEREOF.,ANGOLA,1.02,116
RUBBER AND ARTICLES THEREOF.,VENEZUELA,1.0,117
RUBBER AND ARTICLES THEREOF.,ALBANIA,0.96,118
RUBBER AND ARTICLES THEREOF.,EL SALVADOR,0.9,119
RUBBER AND ARTICLES THEREOF.,LIBYA,0.9,119
RUBBER AND ARTICLES THEREOF.,TURKMENISTAN,0.89,120
RUBBER AND ARTICLES THEREOF.,TOGO,0.87,121
RUBBER AND ARTICLES THEREOF.,MALDIVES,0.81,122
RUBBER AND ARTICLES THEREOF.,SOUTH SUDAN,0.8,123
RUBBER AND ARTICLES THEREOF.,AZERBAIJAN,0.79,124
RUBBER AND ARTICLES THEREOF.,SEYCHELLES,0.78,125
RUBBER AND ARTICLES THEREOF.,GUYANA,0.75,126
RUBBER AND ARTICLES THEREOF.,BOSNIA-HRZGOVIN,0.69,127
RUBBER AND ARTICLES THEREOF.,FIJI IS,0.67,128
RUBBER AND ARTICLES THEREOF.,PAPUA N GNA,0.67,128
RUBBER AND ARTICLES THEREOF.,SIERRA LEONE,0.55,129
RUBBER AND ARTICLES THEREOF.,LIBERIA,0.55,129
RUBBER AND ARTICLES THEREOF.,GABON,0.53,130
RUBBER AND ARTICLES THEREOF.,JAMAICA,0.47,131
RUBBER AND ARTICLES THEREOF.,MALTA,0.47,131
RUBBER AND ARTICLES THEREOF.,NEW CALEDONIA,0.46,132
RUBBER AND ARTICLES THEREOF.,REUNION,0.42,133
RUBBER AND ARTICLES THEREOF.,GAMBIA,0.41,134
RUBBER AND ARTICLES THEREOF.,CONGO P REP,0.38,135
RUBBER AND ARTICLES THEREOF.,MACEDONIA,0.35,136
RUBBER AND ARTICLES THEREOF.,SURINAME,0.32,137
RUBBER AND ARTICLES THEREOF.,GEORGIA,0.3,138
RUBBER AND ARTICLES THEREOF.,TRINIDAD,0.3,138
RUBBER AND ARTICLES THEREOF.,LUXEMBOURG,0.29,139
RUBBER AND ARTICLES THEREOF.,CHAD,0.29,139
RUBBER AND ARTICLES THEREOF.,ARMENIA,0.27,140
