Commodity,country,Total_Value,rank
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,PERU,0.0,27
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,MALAWI,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,BRUNEI,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,VIRGIN IS US,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,ANGOLA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,BENIN,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,LITHUANIA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,TOGO,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,PARAGUAY,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,AZERBAIJAN,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,SOMALIA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,BURKINA FASO,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,FR POLYNESIA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,CAMBODIA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,IRAN,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,GAMBIA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,EL SALVADOR,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,ST LUCIA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,CONGO D. REP.,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,CONGO P REP,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,DJIBOUTI,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,URUGUAY,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,NIGER,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,TAJIKISTAN,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,MALTA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,GUINEA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,GABON,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,JAMAICA,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,SIERRA LEONE,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,BR VIRGN IS,,28
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,MARTINIQUE,,28
