Commodity,country,Total_Value,rank
GLASS AND GLASSWARE.,LITHUANIA,0.17,99
GLASS AND GLASSWARE.,ZIMBABWE,0.16,100
GLASS AND GLASSWARE.,CONGO P REP,0.16,100
GLASS AND GLASSWARE.,FIJI IS,0.15,101
GLASS AND GLASSWARE.,HUNGARY,0.15,101
GLASS AND GLASSWARE.,URUGUAY,0.13,102
GLASS AND GLASSWARE.,BOLIVIA,0.13,102
GLASS AND GLASSWARE.,GABON,0.11,103
GLASS AND GLASSWARE.,KAZAKHSTAN,0.11,103
GLASS AND GLASSWARE.,LIBYA,0.11,103
GLASS AND GLASSWARE.,UZBEKISTAN,0.1,104
GLASS AND GLASSWARE.,MOLDOVA,0.09,105
GLASS AND GLASSWARE.,REUNION,0.09,105
GLASS AND GLASSWARE.,SWAZILAND,0.09,105
GLASS AND GLASSWARE.,SERBIA,0.08,106
GLASS AND GLASSWARE.,MONTENEGRO,0.07,107
GLASS AND GLASSWARE.,LUXEMBOURG,0.07,107
GLASS AND GLASSWARE.,SIERRA LEONE,0.07,107
GLASS AND GLASSWARE.,BELARUS,0.07,107
GLASS AND GLASSWARE.,NICARAGUA,0.06,108
GLASS AND GLASSWARE.,ICELAND,0.05,109
GLASS AND GLASSWARE.,HONDURAS,0.05,109
GLASS AND GLASSWARE.,BOSNIA-HRZGOVIN,0.04,110
GLASS AND GLASSWARE.,JAMAICA,0.04,110
GLASS AND GLASSWARE.,DJIBOUTI,0.04,110
GLASS AND GLASSWARE.,BOTSWANA,0.04,110
GLASS AND GLASSWARE.,SLOVAK REP,0.04,110
GLASS AND GLASSWARE.,GUYANA,0.03,111
GLASS AND GLASSWARE.,TRINIDAD,0.03,111
GLASS AND GLASSWARE.,PUERTO RICO,0.03,111
GLASS AND GLASSWARE.,NAMIBIA,0.02,112
GLASS AND GLASSWARE.,AZERBAIJAN,0.02,112
GLASS AND GLASSWARE.,GUINEA BISSAU,0.01,113
GLASS AND GLASSWARE.,HAITI,0.01,113
GLASS AND GLASSWARE.,MALI,0.01,113
GLASS AND GLASSWARE.,BURKINA FASO,0.01,113
GLASS AND GLASSWARE.,GRENADA,0.01,113
GLASS AND GLASSWARE.,ARMENIA,0.01,113
GLASS AND GLASSWARE.,CUBA,0.01,113
GLASS AND GLASSWARE.,COMOROS,0.01,113
GLASS AND GLASSWARE.,MADAGASCAR,0.01,113
GLASS AND GLASSWARE.,NETHERLANDANTIL,0.01,113
GLASS AND GLASSWARE.,MAURITANIA,0.01,113
GLASS AND GLASSWARE.,BURUNDI,0.01,113
GLASS AND GLASSWARE.,BELIZE,0.01,113
GLASS AND GLASSWARE.,EQUTL GUINEA,0.0,114
GLASS AND GLASSWARE.,ALBANIA,0.0,114
GLASS AND GLASSWARE.,NEW CALEDONIA,0.0,114
GLASS AND GLASSWARE.,CAYMAN IS,0.0,114
GLASS AND GLASSWARE.,MACAO,0.0,114
GLASS AND GLASSWARE.,MONACO,0.0,114
GLASS AND GLASSWARE.,FR POLYNESIA,0.0,114
GLASS AND GLASSWARE.,SURINAME,0.0,114
GLASS AND GLASSWARE.,MARTINIQUE,0.0,114
GLASS AND GLASSWARE.,ANTIGUA,0.0,114
