Commodity,country,Total_Value,rank
COPPER AND ARTICLES THEREOF.,SLOVAK REP,0.15,93
COPPER AND ARTICLES THEREOF.,DOMINIC REP,0.15,93
COPPER AND ARTICLES THEREOF.,CUBA,0.15,93
COPPER AND ARTICLES THEREOF.,ECUADOR,0.14,94
COPPER AND ARTICLES THEREOF.,REUNION,0.14,94
COPPER AND ARTICLES THEREOF.,SIERRA LEONE,0.13,95
COPPER AND ARTICLES THEREOF.,GUATEMALA,0.13,95
COPPER AND ARTICLES THEREOF.,PANAMA REPUBLIC,0.12,96
COPPER AND ARTICLES THEREOF.,COTE D' IVOIRE,0.12,96
COPPER AND ARTICLES THEREOF.,BARBADOS,0.11,97
COPPER AND ARTICLES THEREOF.,MALI,0.09,98
COPPER AND ARTICLES THEREOF.,NORFOLK IS,0.09,98
COPPER AND ARTICLES THEREOF.,TOGO,0.08,99
COPPER AND ARTICLES THEREOF.,MALTA,0.08,99
COPPER AND ARTICLES THEREOF.,MOZAMBIQUE,0.07,100
COPPER AND ARTICLES THEREOF.,CROATIA,0.07,100
COPPER AND ARTICLES THEREOF.,CAMBODIA,0.07,100
COPPER AND ARTICLES THEREOF.,PARAGUAY,0.07,100
COPPER AND ARTICLES THEREOF.,URUGUAY,0.07,100
COPPER AND ARTICLES THEREOF.,ANGOLA,0.06,101
COPPER AND ARTICLES THEREOF.,MALAWI,0.06,101
COPPER AND ARTICLES THEREOF.,CYPRUS,0.06,101
COPPER AND ARTICLES THEREOF.,SURINAME,0.06,101
COPPER AND ARTICLES THEREOF.,MADAGASCAR,0.06,101
COPPER AND ARTICLES THEREOF.,MACEDONIA,0.05,102
COPPER AND ARTICLES THEREOF.,GABON,0.05,102
COPPER AND ARTICLES THEREOF.,PUERTO RICO,0.05,102
COPPER AND ARTICLES THEREOF.,SERBIA,0.05,102
COPPER AND ARTICLES THEREOF.,GAMBIA,0.04,103
COPPER AND ARTICLES THEREOF.,SOMALIA,0.04,103
COPPER AND ARTICLES THEREOF.,COSTA RICA,0.04,103
COPPER AND ARTICLES THEREOF.,BELARUS,0.04,103
COPPER AND ARTICLES THEREOF.,ARMENIA,0.04,103
COPPER AND ARTICLES THEREOF.,DJIBOUTI,0.03,104
COPPER AND ARTICLES THEREOF.,ZIMBABWE,0.03,104
COPPER AND ARTICLES THEREOF.,BRUNEI,0.03,104
COPPER AND ARTICLES THEREOF.,CONGO P REP,0.03,104
COPPER AND ARTICLES THEREOF.,KYRGHYZSTAN,0.02,105
COPPER AND ARTICLES THEREOF.,GUINEA,0.02,105
COPPER AND ARTICLES THEREOF.,JAMAICA,0.02,105
COPPER AND ARTICLES THEREOF.,NIGER,0.02,105
COPPER AND ARTICLES THEREOF.,EL SALVADOR,0.02,105
COPPER AND ARTICLES THEREOF.,GUYANA,0.02,105
COPPER AND ARTICLES THEREOF.,KOREA DP RP,0.01,106
COPPER AND ARTICLES THEREOF.,BURKINA FASO,0.01,106
COPPER AND ARTICLES THEREOF.,KAZAKHSTAN,0.01,106
COPPER AND ARTICLES THEREOF.,CAMEROON,0.01,106
COPPER AND ARTICLES THEREOF.,GIBRALTAR,0.01,106
COPPER AND ARTICLES THEREOF.,MACAO,0.01,106
COPPER AND ARTICLES THEREOF.,GUAM,0.0,107
COPPER AND ARTICLES THEREOF.,HONDURAS,0.0,107
COPPER AND ARTICLES THEREOF.,DOMINICA,0.0,107
COPPER AND ARTICLES THEREOF.,BOLIVIA,0.0,107
COPPER AND ARTICLES THEREOF.,PALAU,0.0,107
COPPER AND ARTICLES THEREOF.,BELIZE,0.0,107
COPPER AND ARTICLES THEREOF.,GUADELOUPE,0.0,107
COPPER AND ARTICLES THEREOF.,TURKMENISTAN,0.0,107
COPPER AND ARTICLES THEREOF.,NICARAGUA,0.0,107
COPPER AND ARTICLES THEREOF.,ICELAND,0.0,107
COPPER AND ARTICLES THEREOF.,CAYMAN IS,0.0,107
COPPER AND ARTICLES THEREOF.,LIBYA,0.0,107
COPPER AND ARTICLES THEREOF.,NETHERLANDANTIL,0.0,107
COPPER AND ARTICLES THEREOF.,BAHAMAS,0.0,107
COPPER AND ARTICLES THEREOF.,MONACO,0.0,107
COPPER AND ARTICLES THEREOF.,MARTINIQUE,0.0,107
COPPER AND ARTICLES THEREOF.,TAJIKISTAN,0.0,107
COPPER AND ARTICLES THEREOF.,NEW CALEDONIA,0.0,107
COPPER AND ARTICLES THEREOF.,HAITI,0.0,107
COPPER AND ARTICLES THEREOF.,SOUTH SUDAN,0.0,107
COPPER AND ARTICLES THEREOF.,BURUNDI,0.0,107
COPPER AND ARTICLES THEREOF.,EQUTL GUINEA,0.0,107
COPPER AND ARTICLES THEREOF.,ANDORRA,0.0,107
COPPER AND ARTICLES THEREOF.,SOLOMON IS,0.0,107
COPPER AND ARTICLES THEREOF.,UZBEKISTAN,0.0,107
COPPER AND ARTICLES THEREOF.,FR POLYNESIA,0.0,107
COPPER AND ARTICLES THEREOF.,GRENADA,0.0,107
COPPER AND ARTICLES THEREOF.,ST KITT N A,0.0,107
COPPER AND ARTICLES THEREOF.,NAMIBIA,0.0,107
COPPER AND ARTICLES THEREOF.,US MINOR OUTLYING ISLANDS,0.0,107
COPPER AND ARTICLES THEREOF.,PAPUA N GNA,0.0,107
COPPER AND ARTICLES THEREOF.,CHAD,0.0,107
COPPER AND ARTICLES THEREOF.,AZERBAIJAN,0.0,107
COPPER AND ARTICLES THEREOF.,COMOROS,,108
COPPER AND ARTICLES THEREOF.,LUXEMBOURG,,108
COPPER AND ARTICLES THEREOF.,GUINEA BISSAU,,108
COPPER AND ARTICLES THEREOF.,ARUBA,,108
COPPER AND ARTICLES THEREOF.,BERMUDA,,108
COPPER AND ARTICLES THEREOF.,ERITREA,,108
COPPER AND ARTICLES THEREOF.,ALBANIA,,108
COPPER AND ARTICLES THEREOF.,C AFRI REP,,108
COPPER AND ARTICLES THEREOF.,MARSHALL ISLAND,,108
COPPER AND ARTICLES THEREOF.,ANTIGUA,,108
COPPER AND ARTICLES THEREOF.,MONTSERRAT,,108
COPPER AND ARTICLES THEREOF.,UNSPECIFIED,,108
COPPER AND ARTICLES THEREOF.,NAURU RP,,108
COPPER AND ARTICLES THEREOF.,SAN MARINO,,108
COPPER AND ARTICLES THEREOF.,SWAZILAND,,108
COPPER AND ARTICLES THEREOF.,VENEZUELA,,108
